track,channel,type,note,velocity,time
1,0,note_off,45,0,34357
1,0,note_off,57,0,34867
1,0,note_on,76,69,36868
1,0,note_on,45,57,36868
1,0,note_on,57,52,37410
1,0,note_off,45,0,37440
1,0,note_on,45,53,37918
1,0,note_off,57,0,37948
1,0,note_on,57,52,38423
1,0,note_off,45,0,38453
1,0,note_off,76,0,38932
1,0,note_on,72,67,38933
1,0,note_on,45,55,38933
1,0,note_off,57,0,38963
1,0,note_on,57,52,39443
1,0,note_off,45,0,39473
1,0,note_on,45,53,39948
1,0,note_off,57,0,39978
1,0,note_on,57,52,40453
1,0,note_off,45,0,40483
1,0,note_off,72,0,40959
1,0,note_on,74,69,40964
1,0,note_on,44,57,40964
1,0,note_off,57,0,40990
1,0,note_on,56,52,41506
1,0,note_off,44,0,41536
1,0,note_on,44,53,42014
1,0,note_off,56,0,42044
1,0,note_on,56,52,42519
1,0,note_off,44,0,42549
1,0,note_off,74,0,43028
1,0,note_on,71,67,43029
1,0,note_on,44,55,43029
1,0,note_off,56,0,43059
1,0,note_on,56,52,43539
1,0,note_off,44,0,43569
1,0,note_on,44,53,44044
1,0,note_off,56,0,44074
1,0,note_on,56,52,44549
1,0,note_off,44,0,44579
1,0,note_off,71,0,45055
1,0,note_on,72,69,45060
1,0,note_on,45,57,45060
1,0,note_off,56,0,45086
1,0,note_on,57,52,45602
1,0,note_off,45,0,45632
1,0,note_on,45,53,46110
1,0,note_off,57,0,46140
1,0,note_on,57,52,46615
1,0,note_off,45,0,46645
1,0,note_off,72,0,47124
1,0,note_on,69,67,47125
1,0,note_on,45,55,47125
1,0,note_off,57,0,47155
1,0,note_on,57,52,47635
1,0,note_off,45,0,47665
1,0,note_on,45,53,48140
1,0,note_off,57,0,48170
1,0,note_on,57,52,48645
1,0,note_off,45,0,48675
1,0,note_off,69,0,49151
1,0,note_on,68,69,49156
1,0,note_on,44,57,49156
1,0,note_off,57,0,49182
1,0,note_on,56,52,49698
1,0,note_off,44,0,49728
1,0,note_on,44,53,50206
1,0,note_off,56,0,50236
1,0,note_on,56,52,50711
1,0,note_off,44,0,50741
1,0,note_off,68,0,51220
1,0,note_on,71,67,51221
1,0,note_on,44,55,51221
1,0,note_off,56,0,51251
1,0,note_on,56,52,51731
1,0,note_off,44,0,51761
1,0,note_on,44,53,52236
1,0,note_off,56,0,52266
1,0,note_on,56,52,52741
1,0,note_off,44,0,52771
1,0,note_off,71,0,53247
1,0,note_on,76,69,53252
1,0,note_on,45,57,53252
1,0,note_off,56,0,53278
1,0,note_on,57,52,53794
1,0,note_off,45,0,53824
1,0,note_on,45,53,54302
1,0,note_off,57,0,54332
1,0,note_on,57,52,54807
1,0,note_off,45,0,54837
1,0,note_off,76,0,55316
1,0,note_on,72,67,55317
1,0,note_on,45,55,55317
1,0,note_off,57,0,55347
1,0,note_on,57,52,55827
1,0,note_off,45,0,55857
1,0,note_on,45,53,56332
1,0,note_off,57,0,56362
1,0,note_on,57,52,56837
1,0,note_off,45,0,56867
1,0,note_off,72,0,57343
1,0,note_on,74,69,57348
1,0,note_on,44,57,57348
1,0,note_off,57,0,57374
